energy(MeV),y(mm),z(mm)
0.00932636,-90174,553947
0.00029101,20849.7,-36909.6
0.00001756,20840.1,-36891.6
0.00000899,-83411.8,47053.4
0.00393728,20840.1,-36891.6
0.016013,20840.1,-36891.6
0.0139355,20840.1,-36891.5
0.0148719,20840.1,-36891.5
0.0200348,20840.1,-36891.5
0.0176181,20840.1,-36891.5
0.0050452,20849.7,-36909.6
0.0198428,20849.7,-36909.6
0.0184802,20849.7,-36909.6
0.0122826,20849.7,-36909.6
0.0542112,20849.7,-36909.6
0.0142386,20849.7,-36909.6
0.017956,20849.7,-36909.6
0.000515654,-83411.8,47053.4
0.0167372,-83411.8,47053.4
0.00001361,27689.1,-439112
0.140007,27689.2,-439112
0.357258,27689.2,-439113
0.0922862,27689.2,-439113
0.00317636,27689.2,-439113
1.98E-05,27689.2,-439113
0.000194606,27689.2,-439113
0.0262387,27689.4,-439112
0.051952,27689.6,-439113
0.0324289,27689.7,-439113
0.0281163,27689.9,-439113
0.157474,27690,-439113
0.020676,27690.1,-439113
0.0186699,27690.1,-439113
0.0171426,27690.2,-439113
0.0148698,27690.2,-439113
0.0107494,27690.2,-439113
0.0118434,27690.2,-439113
0.0149281,27690.2,-439113
0.0636102,27690.2,-439113
0.0243104,27690.1,-439113
0.0331231,27690.1,-439113
0.0274948,27690.1,-439113
0.0139476,27690,-439113
0.0195288,27690,-439113
0.0212796,27690,-439113
0.0292867,27690,-439113
0.0262015,27690,-439113
0.00364945,27690,-439113
0.00029101,412295,128806
0.273274,412296,128806
0.0896123,412296,128806
0.111829,412296,128807
0.00350161,412296,128807
0.000021181,412296,128807
7.31E-05,412296,128807
0.000054561,412296,128807
0.00018174,412298,128818
0.000208303,412298,128818
0.000637059,412298,128818
0.000359404,412298,128818
0.0031821,412298,128818
0.0052547,412298,128818
0.00710138,412298,128818
0.0102214,412298,128818
0.0184741,412298,128818
0.177325,412298,128818
0.0802268,412298,128818
0.255397,412298,128819
0.120158,412298,128819
0.277057,412298,128820
0.0876044,412299,128820
0.0973052,412299,128820
0.0666648,412299,128821
0.0783565,412299,128821
0.0655251,412300,128821
0.0666084,412300,128822
0.0558001,412300,128822
0.103962,412300,128822
0.0414897,412300,128823
0.050198,412300,128823
0.0402555,412300,128823
0.0477188,412300,128823
0.0313688,412300,128823
0.0432404,412300,128823
0.0308677,412300,128823
0.0323626,412300,128823
0.0254641,412300,128824
0.0279432,412300,128824
0.0251389,412300,128824
0.0271543,412300,128824
0.0265837,412300,128824
0.0247662,412300,128824
0.0311474,412300,128824
0.0175517,412300,128824
0.0162418,412300,128824
0.0154541,412300,128824
0.0136922,412300,128824
0.01555,412300,128824
0.0189153,412300,128824
0.0175814,412300,128824
0.0088824,412299,128825
0.0137549,412299,128825
0.0136195,412299,128825
0.00916594,412299,128825
0.0109885,412299,128825
0.00774216,412299,128825
0.0106935,412299,128825
0.0112816,412299,128825
0.0101237,412299,128825
0.00619884,412299,128825
0.00769518,412299,128825
0.0158441,412299,128825
0.00610174,412299,128825
0.00567857,412299,128825
0.0066933,412299,128825
0.00559194,412299,128825
0.00605432,412299,128825
0.0043579,412299,128825
0.00594214,412299,128825
0.00312501,412299,128825
0.008334,412299,128825
0.00333989,412299,128825
0.00390941,412299,128825
0.00449178,412299,128825
0.00477437,412299,128825
0.00518377,412299,128825
0.0149656,412299,128825
0.0141545,412299,128825
0.0131665,412299,128825
0.0152271,412299,128825
0.0110183,412299,128825
0.0172427,412299,128825
0.0144021,412299,128825
0.00000899,-182285,381781
0.0545033,-182285,381781
0.0510015,-182285,381782
0.0428566,-182285,381782
0.0446102,-182285,381782
0.0489899,-182285,381782
0.11908,-182285,381782
0.0349088,-182285,381782
0.0354325,-182284,381782
0.0589951,-182284,381782
0.0319264,-182284,381781
0.0209125,-182284,381781
0.0220517,-182284,381781
0.0300609,-182284,381781
0.0231673,-182284,381781
0.0197005,-182284,381781
0.0142821,-182284,381781
1.51E-05,-182284,381781
0.00001756,456034,-31655.8
0.00001756,456025,-31645.7
0.00029101,453485,-25679.5
9.30E-05,453485,-25679.5
0.00713617,453485,-25679.5
0.00012857,456025,-31645.7
0.00227403,456025,-31645.7
0.015682,456034,-31655.8
0.0337021,456034,-31655.8
0.0322017,456034,-31655.8
0.028888,456034,-31655.8
0.0225013,456034,-31655.8
0.0251133,456034,-31655.8
0.0163822,456034,-31655.7
0.0223306,456034,-31655.7
0.0272022,456034,-31655.7
0.017309,456034,-31655.7
0.0279328,456034,-31655.7
0.0215891,456034,-31655.7
0.00001756,317056,-318427
0.00018025,317038,-318422
0.00124342,317038,-318422
5.04E-05,317038,-318422
0.000357496,317038,-318422
3.90E-05,317038,-318422
0.00087567,317038,-318422
0.000132978,317038,-318422
0.000644557,317038,-318422
0.000672458,317038,-318422
0.00124292,317038,-318422
0.00270211,317038,-318422
0.00263812,317038,-318422
0.00396881,317038,-318422
0.00379216,317038,-318422
0.00288466,317038,-318422
0.00224284,317038,-318422
0.00287499,317038,-318422
0.00317031,317038,-318422
0.00407711,317038,-318422
0.0031401,317038,-318422
0.00194833,317038,-318422
0.00191767,317038,-318422
0.00188231,317038,-318422
0.00410394,317038,-318422
0.00148745,317038,-318422
0.00228594,317038,-318422
0.00154968,317038,-318422
0.00287349,317038,-318422
0.002128,317038,-318422
0.00139976,317038,-318422
0.000992683,317038,-318422
0.00198356,317038,-318422
0.00179311,317038,-318422
0.00202196,317038,-318422
0.0182123,317038,-318422
0.0201259,317038,-318422
0.0431651,317056,-318427
0.0991138,317056,-318427
0.0844221,317057,-318427
0.0760675,317057,-318427
0.0647164,317057,-318426
0.0598093,317057,-318426
0.057152,317058,-318426
0.0386719,317058,-318426
0.0386637,317058,-318426
0.028794,317058,-318426
0.0264034,317058,-318426
0.0254252,317058,-318426
0.0280841,317058,-318426
0.0195183,317058,-318426
0.0209374,317058,-318426
0.032942,317058,-318426
0.0253908,317058,-318426
0.0131331,317058,-318426
0.01198,317058,-318426
0.0133839,317058,-318426
0.0193425,317058,-318426
0.00001361,-174117,69065
0.00129436,-174117,69065
0.0181463,-174117,69065
0.0161792,-174117,69065
0.00029101,-55969.2,-175963
0.00029101,-54929.3,-177163
0.00029101,-54810.9,-177145
0.000451341,-54810.9,-177145
0.00290764,-54810.9,-177145
0.000592308,-54929.3,-177163
0.00618674,-54929.3,-177163
0.192193,-55969.3,-175963
0.210772,-55969.1,-175963
0.198906,-55968.9,-175962
0.14956,-55968.7,-175962
0.160044,-55968.4,-175961
0.177428,-55968,-175960
0.137978,-55967.6,-175959
0.147862,-55967.1,-175959
0.125847,-55966.7,-175958
0.108593,-55966.3,-175958
0.300656,-55965.9,-175957
0.0834665,-55965.6,-175957
0.0848228,-55965.5,-175956
0.0654461,-55965.3,-175956
0.0217987,-55965.3,-175956
0.00513377,-55965.3,-175956
0.00171998,-55965.3,-175956
5.72E-05,-55965.3,-175956
9.50E-06,-55965.3,-175956
5.73E-05,-55965.3,-175956
9.82E-06,-55965.3,-175956
6.80E-05,-55965.3,-175956
7.12E-05,-55965.3,-175956
0.000120446,-55965.3,-175956
1.97E-05,-55965.3,-175956
0.00000899,-128395,-157399
0.0207623,-128395,-157399
0.0522135,-128395,-157400
0.0930679,-128395,-157400
0.0382267,-128395,-157400
0.0373831,-128395,-157400
0.0229733,-128395,-157400
0.0208493,-128395,-157400
0.0241033,-128395,-157400
0.0157548,-128395,-157400
0.0438069,-128395,-157400
0.0126926,-128395,-157400
0.0222321,-128395,-157400
0.0193174,-128395,-157400
0.00029101,282314,36104.4
0.038165,282314,36104.4
0.0660797,282314,36104.5
0.0356736,282314,36104.5
0.0257977,282314,36104.6
0.0334567,282314,36104.5
0.0247253,282315,36104.6
0.0312071,282315,36104.5
0.036571,282315,36104.6
0.0322066,282315,36104.6
0.0202025,282315,36104.6
0.0210236,282315,36104.6
0.0410276,282315,36104.7
0.021078,282315,36104.7
0.0194597,282315,36104.8
0.0166424,282315,36104.8
0.0162822,282315,36104.9
0.0189242,282315,36105
0.0106709,282315,36105.1
0.0137432,282315,36105.1
0.0133056,282315,36105.1
0.0142961,282315,36105.1
0.03197,282315,36105.2
0.0350476,282315,36105.2
0.0285118,282315,36105.2
0.041754,282315,36105.2
0.0223221,282315,36105.1
0.0173066,282315,36105.1
0.0175817,282315,36105.1
0.0102184,282315,36105.1
0.0116671,282315,36105.1
0.0135924,282315,36105.1
0.0311706,282315,36105.1
0.0190738,282315,36105.1
0.00001361,337418,105307
0.000124972,282126,36042.2
4.52E-05,282126,36042.2
4.05E-05,282126,36042.2
0.000221888,282126,36042.2
0.00141547,337418,105307
0.00111251,282126,36042.2
0.0244776,337418,105307
0.000995647,282126,36042.2
0.00225792,282126,36042.3
0.00674523,282126,36042.3
0.0101995,282126,36042.3
0.0234327,282126,36042.3
0.0493525,282126,36042.4
0.0645454,282126,36042.5
0.14947,282126,36042.8
0.0147912,282126,36042.8
0.344333,282126,36043.3
0.537499,282126,36044
0.397436,282126,36044.4
0.316018,282126,36044.8
0.169604,282126,36045
0.00356139,282126,36045
0.108154,282126,36042.8
0.0474613,282126,36042.9
0.0383881,282126,36042.9
0.0581688,282126,36042.9
0.0242522,282126,36043
0.0432812,282126,36043
0.0254279,282126,36043.1
0.0195947,282126,36043.1
0.0375496,282126,36043.2
0.0193854,282126,36043.2
0.0171803,282126,36043.2
0.00982879,282126,36043.2
0.00000899,232213,-209196
0.00001756,232214,-209192
4.81E-05,232214,-209192
0.00843449,232214,-209192
0.228963,232213,-209196
0.0991987,232212,-209196
0.0721615,232212,-209196
0.0946987,232212,-209196
0.0698106,232212,-209196
0.0628829,232211,-209196
0.0796069,232211,-209197
0.0425053,232211,-209197
0.00877576,232211,-209197
0.00259381,232211,-209197
0.00159672,232211,-209197
1.35E-05,232211,-209197
6.45E-05,232211,-209197
0.00000899,349556,-37658.3
0.00029101,349578,-37678.4
0.000172988,349578,-37678.4
0.00321942,349578,-37678.4
0.00390715,349556,-37658.3
0.0294818,349556,-37658.3
0.0119615,349556,-37658.3
0.0138012,349556,-37658.3
0.0136198,349556,-37658.3
0.030698,349556,-37658.3
0.00387155,349556,-37658.3
